objid,ra,frame,snr,cdist,reason
1237678601305260272,0.0955478600743049,7713/3/231,1.9,1.21,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=1.21px); galaxy fell outside the cutout"
1237657191978959022,359.98490011666,2728/5/413,1.9,0.42,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=0.42px); galaxy fell outside the cutout"
1237657191978959037,359.995003931516,2728/5/413,2.0,0.8,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.0, centroid d=0.80px); galaxy fell outside the cutout"
1237663308525863955,359.900469823747,4152/6/56,2.0,2.55,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.0, centroid d=2.55px); galaxy fell outside the cutout"
1237663783660486902,359.89309988175,4263/3/115,2.0,0.29,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.0, centroid d=0.29px); galaxy fell outside the cutout"
1237680243061031090,0.0385496198191078,8095/5/300,2.0,0.39,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.0, centroid d=0.39px); galaxy fell outside the cutout"
1237666184574271705,0.0005627777542827,4822/3/528,2.1,0.71,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.1, centroid d=0.71px); galaxy fell outside the cutout"
1237663234451177990,359.855725810427,4135/4/262,2.1,12.95,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.1, centroid d=12.95px); galaxy fell outside the cutout"
1237663277927760057,0.0043182178619929,4145/5/110,2.1,0.76,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.1, centroid d=0.76px); galaxy fell outside the cutout"
1237663308525798288,0.0284855992372286,4152/6/55,2.1,1.74,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.1, centroid d=1.74px); galaxy fell outside the cutout"
1237680297281126642,359.894217758445,8108/2/241,2.1,1.96,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.1, centroid d=1.96px); galaxy fell outside the cutout"
1237663234451309449,0.0570125639719663,4135/4/264,2.2,0.61,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=0.61px); galaxy fell outside the cutout"
1237663278464631000,0.0296928124967337,4145/6/110,2.2,0.45,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=0.45px); galaxy fell outside the cutout"
1237663784197357651,359.854819307716,4263/4/115,2.2,0.2,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=0.20px); galaxy fell outside the cutout"
1237663306917609838,359.9834546751,4152/3/92,2.2,0.42,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=0.42px); galaxy fell outside the cutout"
1237663234987458575,0.0840046956651577,4135/5/253,2.2,4.76,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=4.76px); galaxy fell outside the cutout"
1237657191978959161,0.0541178681082783,2728/5/413,2.2,2.44,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=2.44px); galaxy fell outside the cutout"
1237663277927760131,0.0095019576681068,4145/5/110,2.2,0.57,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=0.57px); galaxy fell outside the cutout"
1237657190368346348,359.988508572533,2728/2/413,2.2,1.68,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=1.68px); galaxy fell outside the cutout"
1237666184037204222,359.948232115612,4822/2/525,2.2,10.78,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=10.78px); galaxy fell outside the cutout"
1237679476396523780,359.994620388503,7917/1/104,2.2,1.34,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=1.34px); galaxy fell outside the cutout"
1237656496187441218,0.0734654482099586,2566/5/309,2.2,0.28,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=0.28px); galaxy fell outside the cutout"
1237663277927759998,359.950493141758,4145/5/110,2.2,0.3,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.2, centroid d=0.30px); galaxy fell outside the cutout"
1237678598627328358,359.920019232726,7712/6/329,2.3,0.43,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.3, centroid d=0.43px); galaxy fell outside the cutout"
1237652900211261543,0.0856140371559064,1729/3/83,2.3,1.07,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.3, centroid d=1.07px); galaxy fell outside the cutout"
1237663233915290058,359.961890146304,4135/3/277,2.3,5.37,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.3, centroid d=5.37px); galaxy fell outside the cutout"
1237672793959039514,0.022839488267465,6361/2/24,2.3,0.07,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.3, centroid d=0.07px); galaxy fell outside the cutout"
1237663277927760009,359.973933481178,4145/5/110,2.3,0.47,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.3, centroid d=0.47px); galaxy fell outside the cutout"
1237652943175287159,0.0100407799163804,1739/3/302,2.3,0.92,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.3, centroid d=0.92px); galaxy fell outside the cutout"
1237657191978959296,359.993454861828,2728/5/413,2.3,1.24,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.3, centroid d=1.24px); galaxy fell outside the cutout"
1237680297281127060,359.927166483307,8108/2/241,2.4,1.26,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.4, centroid d=1.26px); galaxy fell outside the cutout"
1237672793958973610,0.0344281633523735,6361/2/23,2.4,0.46,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.4, centroid d=0.46px); galaxy fell outside the cutout"
1237679319626219675,0.0523834730896624,7880/5/43,2.4,0.28,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.4, centroid d=0.28px); galaxy fell outside the cutout"
1237672795032125627,0.0694269984167875,6361/4/14,2.4,5.37,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.4, centroid d=5.37px); galaxy fell outside the cutout"
1237669681724719225,359.868395205369,5636/5/121,2.4,0.49,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.4, centroid d=0.49px); galaxy fell outside the cutout"
1237663234451177981,359.977134924508,4135/4/262,2.5,2.71,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.5, centroid d=2.71px); galaxy fell outside the cutout"
1237663233915224305,0.0534307107745349,4135/3/276,2.5,0.6,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.5, centroid d=0.60px); galaxy fell outside the cutout"
1237663234987590227,0.127374835400815,4135/5/255,2.5,7.52,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.5, centroid d=7.52px); galaxy fell outside the cutout"
1237669768154054902,0.134354481219475,5656/6/16,2.5,1.09,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.5, centroid d=1.09px); galaxy fell outside the cutout"
1237678919130939665,0.0732543876931118,7787/3/202,2.5,0.34,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.5, centroid d=0.34px); galaxy fell outside the cutout"
1237656496187441311,0.0375925121020941,2566/5/309,2.6,1.01,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.6, centroid d=1.01px); galaxy fell outside the cutout"
1237663233915224415,0.0785387257143952,4135/3/276,2.6,1.42,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.6, centroid d=1.42px); galaxy fell outside the cutout"
1237672795031994481,359.900159051473,6361/4/12,2.6,0.27,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.6, centroid d=0.27px); galaxy fell outside the cutout"
1237652947988775009,359.994814084122,1740/4/22,2.6,0.63,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.6, centroid d=0.63px); galaxy fell outside the cutout"
1237679317478736124,0.0202004122500057,7880/1/43,2.6,2.95,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.6, centroid d=2.95px); galaxy fell outside the cutout"
1237680265074049180,0.0099601267631328,8100/6/320,2.6,1.01,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.6, centroid d=1.01px); galaxy fell outside the cutout"
1237657191978959004,359.967229515838,2728/5/413,2.7,1.23,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.7, centroid d=1.23px); galaxy fell outside the cutout"
1237656495650504879,359.952769391284,2566/4/308,2.7,1.03,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.7, centroid d=1.03px); galaxy fell outside the cutout"
1237663783123615864,359.915758551782,4263/2/115,2.7,0.11,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.7, centroid d=0.11px); galaxy fell outside the cutout"
1237657190368346267,0.0407830698510452,2728/2/413,2.7,0.24,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.7, centroid d=0.24px); galaxy fell outside the cutout"
1237656495650504896,359.978287156448,2566/4/308,2.7,0.79,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.7, centroid d=0.79px); galaxy fell outside the cutout"
1237657191978959103,0.007252351495822,2728/5/413,2.7,0.26,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.7, centroid d=0.26px); galaxy fell outside the cutout"
1237678598090457296,359.970656618344,7712/5/329,2.7,0.58,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.7, centroid d=0.58px); galaxy fell outside the cutout"
1237678600231518542,0.0982329648137465,7713/1/231,2.8,0.72,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=0.72px); galaxy fell outside the cutout"
1237672795032060066,0.126833960826474,6361/4/13,2.8,0.93,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=0.93px); galaxy fell outside the cutout"
1237656496187441273,0.0057738210111892,2566/5/309,2.8,0.31,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=0.31px); galaxy fell outside the cutout"
1237657190368346389,0.0440450589142074,2728/2/413,2.8,1.89,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=1.89px); galaxy fell outside the cutout"
1237678857934733504,359.984754576684,7773/1/310,2.8,0.33,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=0.33px); galaxy fell outside the cutout"
1237678617954681037,359.952093773105,7717/2/329,2.8,5.17,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=5.17px); galaxy fell outside the cutout"
1237663783123615870,359.969696870726,4263/2/115,2.8,0.42,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=0.42px); galaxy fell outside the cutout"
1237663233915158826,359.960974743907,4135/3/275,2.8,2.55,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=2.55px); galaxy fell outside the cutout"
1237663278464630926,359.959665571365,4145/6/110,2.8,0.1,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=0.10px); galaxy fell outside the cutout"
1237663305845375199,0.0155048935407081,4152/1/115,2.8,3.21,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.8, centroid d=3.21px); galaxy fell outside the cutout"
1237663277927759984,359.932649187478,4145/5/110,2.9,0.86,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.9, centroid d=0.86px); galaxy fell outside the cutout"
1237663234451309390,0.0793316982437204,4135/4/264,2.9,0.47,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.9, centroid d=0.47px); galaxy fell outside the cutout"
1237680264537178494,0.0581031543397188,8100/5/320,2.9,0.26,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.9, centroid d=0.26px); galaxy fell outside the cutout"
1237657191978959149,0.0421551297240512,2728/5/413,2.9,0.97,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.9, centroid d=0.97px); galaxy fell outside the cutout"
1237678598090457132,359.935518694017,7712/5/329,2.9,5.55,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.9, centroid d=5.55px); galaxy fell outside the cutout"
1237672795032059970,359.96440619689,6361/4/13,2.9,7.16,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=2.9, centroid d=7.16px); galaxy fell outside the cutout"
1237663784197357738,359.877268956337,4263/4/115,3.0,1.71,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.0, centroid d=1.71px); galaxy fell outside the cutout"
1237657191978959170,0.0614929474281212,2728/5/413,3.0,0.47,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.0, centroid d=0.47px); galaxy fell outside the cutout"
1237663234987590305,0.107573923690666,4135/5/255,3.0,7.23,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.0, centroid d=7.23px); galaxy fell outside the cutout"
1237663277927760116,359.932922342784,4145/5/110,3.0,0.5,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.0, centroid d=0.50px); galaxy fell outside the cutout"
1237672795032060033,0.111438827664585,6361/4/13,3.1,3.97,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.1, centroid d=3.97px); galaxy fell outside the cutout"
1237652944249028635,359.882619233687,1739/5/302,3.1,0.91,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.1, centroid d=0.91px); galaxy fell outside the cutout"
1237663278464631006,0.0483667802345167,4145/6/110,3.1,2.08,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.1, centroid d=2.08px); galaxy fell outside the cutout"
1237663277927760070,0.0278136586717892,4145/5/110,3.1,0.79,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.1, centroid d=0.79px); galaxy fell outside the cutout"
1237663233915158647,359.864484381298,4135/3/275,3.1,0.99,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.1, centroid d=0.99px); galaxy fell outside the cutout"
1237657191978959570,359.993946917525,2728/5/413,3.2,0.23,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.2, centroid d=0.23px); galaxy fell outside the cutout"
1237669517978698048,359.972939329546,5598/4/115,3.2,1.26,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.2, centroid d=1.26px); galaxy fell outside the cutout"
1237666183500267972,0.0355474038501598,4822/1/524,3.3,0.77,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.3, centroid d=0.77px); galaxy fell outside the cutout"
1237679317478735963,359.97836608837,7880/1/43,3.3,1.64,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.3, centroid d=1.64px); galaxy fell outside the cutout"
1237663277927759982,359.933024213705,4145/5/110,3.3,0.73,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.3, centroid d=0.73px); galaxy fell outside the cutout"
1237678919130939674,0.138846988276441,7787/3/202,3.4,1.61,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.4, centroid d=1.61px); galaxy fell outside the cutout"
1237663275780276418,0.023088624282309,4145/1/110,3.4,0.77,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.4, centroid d=0.77px); galaxy fell outside the cutout"
1237652900748132562,0.0859505647286483,1729/4/83,3.5,0.88,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.5, centroid d=0.88px); galaxy fell outside the cutout"
1237663278464631417,0.0422141968494145,4145/6/110,3.6,0.95,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.6, centroid d=0.95px); galaxy fell outside the cutout"
1237657190905217191,0.0006722100707179,2728/3/413,3.6,0.39,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.6, centroid d=0.39px); galaxy fell outside the cutout"
1237679476396523823,0.0118803455994225,7917/1/104,3.6,0.65,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.6, centroid d=0.65px); galaxy fell outside the cutout"
1237666184037270022,359.934803070052,4822/2/526,3.6,1.24,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.6, centroid d=1.24px); galaxy fell outside the cutout"
1237657191978959136,0.0276589924733344,2728/5/413,3.7,0.47,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.7, centroid d=0.47px); galaxy fell outside the cutout"
1237663277927760002,359.951767117499,4145/5/110,3.7,0.78,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.7, centroid d=0.78px); galaxy fell outside the cutout"
1237666308022010166,359.963278719707,4851/1/31,3.8,0.8,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.8, centroid d=0.80px); galaxy fell outside the cutout"
1237663233379008794,0.029125153957807,4135/2/286,3.9,0.68,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.9, centroid d=0.68px); galaxy fell outside the cutout"
1237672795032125680,0.103138398738366,6361/4/14,3.9,0.33,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=3.9, centroid d=0.33px); galaxy fell outside the cutout"
1237678778478100958,359.989332557361,7754/5/314,4.2,0.53,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=4.2, centroid d=0.53px); galaxy fell outside the cutout"
1237663305845375305,359.882767957786,4152/1/115,4.2,4.48,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=4.2, centroid d=4.48px); galaxy fell outside the cutout"
1237663308525863403,0.0222064087672607,4152/6/56,4.6,4.29,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=4.6, centroid d=4.29px); galaxy fell outside the cutout"
1237663306917544387,359.920619776922,4152/3/91,4.8,7.6,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=4.8, centroid d=7.60px); galaxy fell outside the cutout"
1237672793422626999,359.996470880198,6361/1/31,5.0,9.55,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=5.0, centroid d=9.55px); galaxy fell outside the cutout"
1237678857934733499,359.96437145715,7773/1/310,5.2,4.64,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=5.2, centroid d=4.64px); galaxy fell outside the cutout"
1237663307453760249,359.880867172259,4152/4/81,5.3,1.51,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=5.3, centroid d=1.51px); galaxy fell outside the cutout"
1237663233915356081,0.0464504652374558,4135/3/278,5.4,5.53,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=5.4, centroid d=5.53px); galaxy fell outside the cutout"
1237663233379270902,359.97488757758,4135/2/290,5.4,8.18,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=5.4, centroid d=8.18px); galaxy fell outside the cutout"
1237663234987590261,0.126577458951829,4135/5/255,5.5,6.62,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=5.5, centroid d=6.62px); galaxy fell outside the cutout"
